Frame,License_Plate_Text,Char_X1,Char_Y1,Char_X2,Char_Y2,Char_Label
14,30H31768,734,284,768,343,3
14,30H31768,636,355,668,414,1
14,30H31768,668,353,706,411,7
14,30H31768,707,350,743,405,6
14,30H31768,743,345,778,402,8
14,384,200,336,258,409,3
14,384,216,395,284,461,8
14,384,261,388,322,462,4
15,354D71314,1097,209,1124,256,3
15,354D71314,1103,252,1134,302,5
15,354D71314,1118,207,1145,254,4
15,354D71314,1157,204,1186,252,D
15,354D71314,1163,250,1192,300,7
15,354D71314,1178,203,1204,250,1
15,354D71314,1187,250,1214,295,3
15,354D71314,1080,256,1110,306,1
15,354D71314,1131,254,1164,301,4
15,30H31768,627,297,658,354,3
15,30H31768,651,292,686,352,0
15,30H31768,707,285,740,347,H
15,30H31768,733,283,766,342,3
15,30H31768,634,355,665,413,1
15,30H31768,667,353,703,411,7
15,30H31768,705,349,740,405,6
15,30H31768,741,344,777,402,8
15,7384,365,283,427,438,7
15,7384,193,335,257,409,3
15,7384,215,395,280,462,8
15,7384,257,387,319,463,4
16,30H31768,623,292,655,350,3
16,30H31768,649,288,682,348,0
16,30H31768,704,280,737,342,H
16,30H31768,731,278,762,338,3
16,30H31768,630,351,663,409,1
16,30H31768,663,348,700,406,7
16,30H31768,702,345,736,401,6
16,30H31768,739,339,772,397,8
16,3544D7131,1097,203,1123,250,3
16,3544D7131,1102,247,1134,296,5
16,3544D7131,1118,202,1145,248,4
16,3544D7131,1132,248,1162,294,4
16,3544D7131,1157,199,1185,247,D
16,3544D7131,1162,244,1192,294,7
16,3544D7131,1179,198,1203,243,1
16,3544D7131,1186,244,1214,290,3
16,3544D7131,1081,251,1110,301,1
16,3189,185,323,251,405,3
16,3189,361,286,421,434,1
16,3189,205,392,273,460,8
16,3189,286,368,351,450,9
17,30H31768,620,292,651,350,3
17,30H31768,646,288,679,348,0
17,30H31768,701,280,734,342,H
17,30H31768,728,277,761,338,3
17,30H31768,628,351,660,409,1
17,30H31768,661,349,696,407,7
17,30H31768,699,345,732,401,6
17,30H31768,737,340,769,398,8
17,34D713154,1095,201,1122,249,3
17,34D713154,1117,199,1144,248,4
17,34D713154,1156,197,1185,246,D
17,34D713154,1163,243,1191,292,7
17,34D713154,1178,195,1205,243,1
17,34D713154,1186,243,1214,291,3
17,34D713154,1079,250,1108,299,1
17,34D713154,1102,246,1134,295,5
17,34D713154,1131,246,1162,293,4
17,738,153,322,224,483,7
17,738,185,331,253,408,3
17,738,202,394,271,460,8
18,354D71314,1096,206,1123,253,3
18,354D71314,1102,249,1135,300,5
18,354D71314,1118,203,1145,251,4
18,354D71314,1157,201,1186,250,D
18,354D71314,1163,247,1192,297,7
18,354D71314,1179,199,1203,246,1
18,354D71314,1187,247,1214,295,3
18,354D71314,1079,254,1110,304,1
18,354D71314,1131,251,1164,298,4
18,30H31768,620,296,650,353,3
18,30H31768,645,292,678,352,0
18,30H31768,700,286,733,346,H
18,30H31768,727,281,759,342,3
18,30H31768,626,355,658,412,1
18,30H31768,660,352,695,411,7
18,30H31768,698,349,731,405,6
18,30H31768,735,344,768,402,8
18,7M18,151,327,226,484,7
18,7M18,347,283,414,439,M
18,7M18,351,283,415,440,1
18,7M18,200,395,271,466,8
19,354D71314,1096,206,1123,253,3
19,354D71314,1102,249,1135,300,5
19,354D71314,1118,204,1145,252,4
19,354D71314,1157,201,1186,251,D
19,354D71314,1163,247,1192,297,7
19,354D71314,1179,199,1203,247,1
19,354D71314,1187,247,1214,295,3
19,354D71314,1079,254,1109,303,1
19,354D71314,1131,251,1164,298,4
19,30H31768,619,296,651,353,3
19,30H31768,645,292,678,352,0
19,30H31768,701,285,733,346,H
19,30H31768,727,282,759,342,3
19,30H31768,626,356,659,413,1
19,30H31768,660,353,695,411,7
19,30H31768,699,349,732,406,6
19,30H31768,735,344,768,402,8
19,189,353,284,415,436,1
19,189,202,393,268,464,8
19,189,280,374,344,455,9
20,30H31768,612,297,643,355,3
20,30H31768,637,293,671,354,0
20,30H31768,693,288,727,348,H
20,30H31768,720,283,752,344,3
20,30H31768,620,358,651,416,1
20,30H31768,653,355,689,413,7
20,30H31768,691,351,726,408,6
20,30H31768,728,346,763,404,8
20,354D7131,1093,207,1120,256,3
20,354D7131,1100,250,1133,302,5
20,354D7131,1115,205,1143,254,4
20,354D7131,1154,203,1184,252,D
20,354D7131,1161,249,1190,299,7
20,354D7131,1177,202,1201,249,1
20,354D7131,1186,249,1212,296,3
20,354D7131,1076,257,1105,305,1
20,189,344,285,409,439,1
20,189,191,393,257,466,8
20,189,268,370,331,455,9
21,354D713414,1091,209,1119,258,3
21,354D713414,1098,253,1131,305,5
21,354D713414,1113,207,1141,256,4
21,354D713414,1153,205,1181,255,D
21,354D713414,1159,252,1189,301,7
21,354D713414,1175,204,1199,251,1
21,354D713414,1184,252,1209,296,3
21,354D713414,1185,252,1209,296,4
21,354D713414,1074,258,1103,309,1
21,354D713414,1126,255,1159,304,4
21,30H31768,608,298,640,357,3
21,30H31768,632,295,666,355,0
21,30H31768,688,288,723,349,H
21,30H31768,715,286,749,345,3
21,30H31768,615,356,648,417,1
21,30H31768,649,355,686,415,7
21,30H31768,687,353,723,410,6
21,30H31768,724,347,759,406,8
21,89,185,395,250,468,8
21,89,265,374,326,456,9
22,354D71314,1091,207,1117,256,3
22,354D71314,1097,251,1130,302,5
22,354D71314,1113,205,1140,254,4
22,354D71314,1152,202,1181,252,D
22,354D71314,1158,249,1188,299,7
22,354D71314,1174,201,1198,249,1
22,354D71314,1183,250,1209,295,3
22,354D71314,1075,257,1102,305,1
22,354D71314,1125,253,1158,301,4
22,30H31768,603,296,636,356,3
22,30H31768,629,293,663,354,0
22,30H31768,685,287,719,349,H
22,30H31768,712,283,745,345,3
22,30H31768,611,358,644,417,1
22,30H31768,645,355,682,414,7
22,30H31768,683,352,718,409,6
22,30H31768,720,347,755,405,8
22,849,177,396,247,468,8
22,849,224,386,288,462,4
22,849,260,374,321,455,9
23,354D71314,1091,209,1118,257,3
23,354D71314,1097,252,1130,304,5
23,354D71314,1113,206,1139,256,4
23,354D71314,1153,204,1180,254,D
23,354D71314,1160,252,1186,300,7
23,354D71314,1175,203,1198,251,1
23,354D71314,1185,251,1209,296,3
23,354D71314,1074,259,1103,308,1
23,354D71314,1126,255,1157,303,4
23,30H31768B,599,296,633,360,3
23,30H31768B,625,291,661,356,0
23,30H31768B,681,284,717,350,H
23,30H31768B,709,282,744,346,3
23,30H31768B,608,360,641,421,1
23,30H31768B,642,357,679,418,7
23,30H31768B,680,354,714,412,6
23,30H31768B,718,349,753,408,8
23,30H31768B,718,349,753,407,B
23,219,282,302,365,447,2
23,219,325,284,392,441,1
23,219,256,376,317,458,9
24,354D71314,1092,213,1117,263,3
24,354D71314,1099,258,1131,310,5
24,354D71314,1113,211,1140,261,4
24,354D71314,1154,209,1182,260,D
24,354D71314,1161,257,1188,307,7
24,354D71314,1176,208,1200,256,1
24,354D71314,1186,257,1211,301,3
24,354D71314,1075,264,1104,313,1
24,354D71314,1127,260,1157,309,4
24,30H31768,597,301,631,363,3
24,30H31768,623,298,658,361,0
24,30H31768,680,292,713,355,H
24,30H31768,707,289,740,351,3
24,30H31768,606,364,640,425,1
24,30H31768,639,361,676,422,7
24,30H31768,678,359,712,417,6
24,30H31768,716,354,749,412,8
24,89,167,399,242,476,8
24,89,251,381,313,463,9
25,354D71314,1091,213,1117,263,3
25,354D71314,1098,258,1131,312,5
25,354D71314,1112,212,1140,261,4
25,354D71314,1153,209,1182,260,D
25,354D71314,1161,258,1189,307,7
25,354D71314,1176,208,1199,257,1
25,354D71314,1186,257,1211,302,3
25,354D71314,1074,264,1103,314,1
25,354D71314,1127,261,1157,310,4
25,30H31768,593,302,625,364,3
25,30H31768,618,300,652,362,0
25,30H31768,674,293,708,357,H
25,30H31768,701,291,735,352,3
25,30H31768,600,364,634,426,1
25,30H31768,634,361,671,423,7
25,30H31768,671,359,708,418,6
25,30H31768,710,354,746,413,8
25,24,270,303,354,456,2
25,24,205,396,271,473,4
26,354D71314,1091,213,1117,263,3
26,354D71314,1098,258,1131,312,5
26,354D71314,1112,212,1140,261,4
26,354D71314,1153,209,1182,260,D
26,354D71314,1161,258,1189,307,7
26,354D71314,1176,208,1199,257,1
26,354D71314,1186,257,1211,302,3
26,354D71314,1074,264,1103,314,1
26,354D71314,1127,261,1157,310,4
26,30H31768,592,302,624,364,3
26,30H31768,618,300,653,362,0
26,30H31768,674,293,708,357,H
26,30H31768,701,291,735,352,3
26,30H31768,598,363,634,425,1
26,30H31768,633,360,672,423,7
26,30H31768,671,359,708,418,6
26,30H31768,710,354,746,413,8
26,29,271,303,357,455,2
26,29,242,381,306,465,9
27,34D131547,1096,217,1123,267,3
27,34D131547,1118,216,1147,266,4
27,34D131547,1161,213,1191,264,D
27,34D131547,1184,211,1209,262,1
27,34D131547,1191,261,1222,308,3
27,34D131547,1081,268,1109,317,1
27,34D131547,1104,265,1137,315,5
27,34D131547,1133,265,1168,314,4
27,34D131547,1166,262,1198,312,7
27,30H31768,587,307,621,369,3
27,30H31768,614,303,649,366,0
27,30H31768,671,296,705,361,H
27,30H31768,699,294,733,355,3
27,30H31768,596,367,632,430,1
27,30H31768,631,365,667,427,7
27,30H31768,670,364,704,422,6
27,30H31768,707,358,744,418,8
28,30H3768,584,306,618,368,3
28,30H3768,612,303,646,365,0
28,30H3768,668,295,702,359,H
28,30H3768,696,293,729,356,3
28,30H3768,627,364,663,427,7
28,30H3768,666,363,702,422,6
28,30H3768,705,357,740,417,8
28,34D13157,1099,216,1127,267,3
28,34D13157,1121,215,1150,265,4
28,34D13157,1164,212,1194,263,D
28,34D13157,1188,210,1212,261,1
28,34D13157,1197,260,1224,307,3
28,34D13157,1081,267,1112,318,1
28,34D13157,1105,262,1143,315,5
28,34D13157,1170,261,1201,313,7
28,9,227,382,296,467,9
29,34D11573,1099,215,1128,267,3
29,34D11573,1121,213,1151,265,4
29,34D11573,1165,212,1194,263,D
29,34D11573,1189,209,1213,260,1
29,34D11573,1083,267,1113,318,1
29,34D11573,1106,262,1142,316,5
29,34D11573,1172,261,1202,313,7
29,34D11573,1197,261,1225,307,3
29,30H31768,574,303,615,368,3
29,30H31768,607,301,643,364,0
29,30H31768,664,296,697,359,H
29,30H31768,693,293,725,355,3
29,30H31768,584,364,624,429,1
29,30H31768,621,363,659,426,7
29,30H31768,661,363,696,420,6
29,30H31768,700,358,736,417,8
29,4,188,392,258,472,4
30,34D11573,1097,216,1127,268,3
30,34D11573,1121,215,1150,266,4
30,34D11573,1164,213,1194,265,D
30,34D11573,1188,210,1213,262,1
30,34D11573,1080,269,1110,319,1
30,34D11573,1104,263,1141,318,5
30,34D11573,1169,262,1201,311,7
30,34D11573,1196,262,1225,310,3
30,30H31768,570,305,608,368,3
30,30H31768,599,301,637,365,0
30,30H31768,657,295,692,360,H
30,30H31768,686,293,720,355,3
30,30H31768,581,365,621,429,1
30,30H31768,611,364,655,427,7
30,30H31768,654,363,692,422,6
30,30H31768,693,358,732,419,8
30,K,79,338,157,506,K
31,34D11573,1098,216,1126,268,3
31,34D11573,1120,215,1149,266,4
31,34D11573,1164,213,1193,265,D
31,34D11573,1188,211,1213,262,1
31,34D11573,1081,269,1110,320,1
31,34D11573,1105,263,1140,318,5
31,34D11573,1169,263,1201,314,7
31,34D11573,1197,262,1224,309,3
31,30H31768,570,305,608,368,3
31,30H31768,599,301,637,365,0
31,30H31768,657,295,692,360,H
31,30H31768,686,293,720,355,3
31,30H31768,581,365,621,429,1
31,30H31768,611,364,655,427,7
31,30H31768,654,363,692,422,6
31,30H31768,693,358,732,419,8
31,K,79,338,157,506,K
32,30H31768,556,304,594,366,3
32,30H31768,584,300,623,364,0
32,30H31768,643,293,677,359,H
32,30H31768,671,292,705,356,3
32,30H31768,558,364,599,428,1
32,30H31768,599,362,637,427,7
32,30H31768,640,364,677,423,6
32,30H31768,680,359,716,419,8
32,354D7131,1093,221,1121,273,3
32,354D7131,1101,267,1136,323,5
32,354D7131,1116,220,1145,271,4
32,354D7131,1159,218,1190,270,D
32,354D7131,1164,266,1199,313,7
32,354D7131,1185,217,1210,267,1
32,354D7131,1191,267,1223,316,3
32,354D7131,1076,273,1104,324,1
32,9,198,375,264,463,9
33,34D71315,1096,222,1125,273,3
33,34D71315,1119,222,1150,272,4
33,34D71315,1163,220,1193,272,D
33,34D71315,1171,268,1203,316,7
33,34D71315,1190,218,1214,269,1
33,34D71315,1197,268,1226,317,3
33,34D71315,1077,274,1108,322,1
33,34D71315,1103,269,1139,322,5
33,H3768,642,293,675,359,H
33,H3768,669,292,703,355,3
33,H3768,593,361,635,425,7
33,H3768,636,362,675,421,6
33,H3768,677,357,714,417,8
34,354D13,1089,223,1121,275,3
34,354D13,1095,270,1134,326,5
34,354D13,1112,222,1145,275,4
34,354D13,1157,220,1191,274,D
34,354D13,1184,220,1210,271,1
34,354D13,1192,272,1222,320,3
34,AH368,629,290,667,357,A
34,AH368,630,291,666,357,H
34,AH368,659,288,695,355,3
34,AH368,623,358,665,420,6
34,AH368,664,355,705,417,8
35,34D11573,1086,221,1116,274,3
35,34D11573,1109,220,1140,273,4
35,34D11573,1155,218,1186,272,D
35,34D11573,1181,217,1207,270,1
35,34D11573,1065,273,1101,327,1
35,34D11573,1092,268,1132,325,5
35,34D11573,1160,268,1193,319,7
35,34D11573,1188,270,1217,319,3
35,0H31768,562,292,600,357,0
35,0H31768,622,288,656,353,H
35,0H31768,650,286,684,350,3
35,0H31768,533,354,577,421,1
35,0H31768,571,355,615,420,7
35,0H31768,617,357,654,416,6
35,0H31768,659,353,693,413,8
35,4,211,359,285,442,4
36,34D11573,1086,220,1116,274,3
36,34D11573,1109,220,1141,273,4
36,34D11573,1155,218,1186,272,D
36,34D11573,1181,217,1207,270,1
36,34D11573,1065,273,1101,327,1
36,34D11573,1092,268,1132,325,5
